[2024-02-03 10:33:22,385: INFO: main: Welcome to the custom log]
[2024-02-03 19:51:10,651: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-03 19:51:10,668: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-03 19:51:10,669: INFO: common: created directory at: artifacts]
[2024-02-03 19:51:10,670: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-03 19:51:10,671: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-03 19:51:26,198: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-03 20:02:09,715: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-02-03 20:02:09,718: INFO: common: yaml file: params.yaml loaded successfully]
[2024-02-03 20:02:09,720: INFO: common: created directory at: artifacts]
[2024-02-03 20:02:09,721: INFO: common: created directory at: artifacts/data_ingestion]
[2024-02-03 20:02:09,722: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-02-03 20:02:25,222: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
